Symbol,Date,Close,High,Low,Open,Volume
ABC,2015-01-01,90.16,90.16,90.16,90.16,0
ABC,2015-01-02,90.46,91.32,89.82,90.61,1124780
ABC,2015-01-05,89.69,90.74,89.64,90.07,1631322
ABC,2015-01-06,90.18,91.42,89.52,90.14,1761559
ABC,2015-01-07,91.98,92.4,90.43,90.98,1608941
ABC,2015-01-08,92.19,92.77,91.16,91.74,2399882
ABC,2015-01-09,93.0,93.27,92.32,92.44,1553653
ABC,2015-01-12,90.93,94.35,90.55,93.77,3524557
ABC,2015-01-13,91.64,93.42,90.933,91.87,3463946
ABC,2015-01-14,92.1,92.87,90.59,91.42,1999984
ABC,2015-01-15,91.4,92.4,91.1,92.15,1362570
ABC,2015-01-16,92.42,92.46,90.35,91.14,1541666
ABC,2015-01-19,92.42,92.42,92.42,92.42,0
ABC,2015-01-20,92.44,93.42,91.39,93.01,1179964
ABC,2015-01-21,92.78,93.0,91.8995,92.38,1531623
ABC,2015-01-22,94.15,94.225,91.95,93.23,1641097
ABC,2015-01-23,94.73,95.16,94.3,94.38,1854808
ABC,2015-01-26,95.85,95.87,94.3,94.85,2097471
ABC,2015-01-27,95.92,96.49,94.705,95.17,2734029
ABC,2015-01-28,96.37,100.2,95.26,98.8,5425090
ABC,2015-01-29,96.34,97.13,94.89,96.87,3327407
ABC,2015-01-30,95.05,96.5,94.98,96.18,2346798
ABC,2015-02-02,95.15,95.77,93.6,95.57,1697600
ABC,2015-02-03,95.64,95.83,94.27,95.67,2081341
ABC,2015-02-04,95.87,96.454,95.2315,95.62,1777618
ABC,2015-02-05,96.34,96.67,95.98,96.27,1055712
ABC,2015-02-06,97.04,98.23,96.59,96.95,2015514
ABC,2015-02-09,95.56,96.97,95.075,96.97,1645220
ABC,2015-02-10,96.91,97.01,95.77,96.34,2248000
ABC,2015-02-11,98.74,99.08,96.93,97.01,3137776
ABC,2015-02-12,99.83,99.85,98.23,98.83,2224613
ABC,2015-02-13,100.34,100.36,99.0117,99.68,2064417
ABC,2015-02-16,100.34,100.34,100.34,100.34,0
ABC,2015-02-17,100.6,100.85,99.68,100.21,2196913
ABC,2015-02-18,100.66,100.92,99.61,100.21,1680401
ABC,2015-02-19,101.01,101.03,100.09,100.52,1421490
ABC,2015-02-20,101.98,102.0,100.18,101.02,1442607
ABC,2015-02-23,102.76,102.89,101.79,101.98,1107836
ABC,2015-02-24,102.97,103.14,102.29,102.76,1169184
ABC,2015-02-25,103.29,103.705,102.75,102.97,1064949
ABC,2015-02-26,102.98,103.64,102.62,102.93,1711928
ABC,2015-02-27,102.76,103.31,102.49,103.08,1329252
ABC,2015-03-02,103.1,103.25,102.44,102.57,1948322
ABC,2015-03-03,103.04,103.97,102.5,103.41,1995403
ABC,2015-03-04,103.48,103.65,102.13,102.53,1832610
ABC,2015-03-05,103.64,103.9199,103.17,103.74,1208409
ABC,2015-03-06,102.26,103.59,102.0,103.19,1549308
ABC,2015-03-09,103.34,103.58,102.01,102.47,1295312
ABC,2015-03-10,102.93,103.52,102.22,102.62,1912149
ABC,2015-03-11,103.84,104.1,102.95,103.4,1719937
ABC,2015-03-12,105.38,105.515,103.95,104.0,1448166
ABC,2015-03-13,106.15,106.38,105.12,105.26,1746949
ABC,2015-03-16,110.13,110.2,106.971,108.13,3548820
ABC,2015-03-17,110.36,110.71,109.27,109.94,1787818
ABC,2015-03-18,111.7,112.28,109.82,110.45,2043999
ABC,2015-03-19,112.37,112.5,111.07,111.88,1422235
ABC,2015-03-20,113.46,114.5,112.84,112.98,4380816
ABC,2015-03-23,113.64,114.53,113.13,113.74,1920929
ABC,2015-03-24,113.89,114.73,113.36,113.64,1913505
ABC,2015-03-25,112.14,114.6,111.8,113.9,2066891
ABC,2015-03-26,112.09,113.05,110.54,111.5,2411776
ABC,2015-03-27,113.19,113.58,112.2128,112.33,1881946
ABC,2015-03-30,113.49,114.0,113.37,113.93,2180388
ABC,2015-03-31,113.67,114.27,113.42,113.42,2254190
ABC,2015-04-01,112.03,113.93,111.41,113.93,2171922
ABC,2015-04-02,112.39,112.59,111.58,112.16,2049432
ABC,2015-04-03,112.39,112.39,112.39,112.39,0
ABC,2015-04-06,112.54,113.13,111.79,111.99,1869191
ABC,2015-04-07,112.68,113.49,112.45,112.91,1189853
ABC,2015-04-08,113.24,113.5,112.43,112.77,2048854
ABC,2015-04-09,113.5,114.28,112.64,113.31,2425708
ABC,2015-04-10,115.35,115.55,113.2244,113.4,1879158
ABC,2015-04-13,113.99,115.8799,113.66,115.31,1826936
ABC,2015-04-14,114.0,114.45,112.7,114.34,1032017
ABC,2015-04-15,113.62,114.33,112.78,114.2,1327992
ABC,2015-04-16,113.83,114.06,112.525,113.41,1055597
ABC,2015-04-17,112.61,113.71,112.05,113.21,2297916
ABC,2015-04-20,113.19,113.56,112.89,112.96,1412978
ABC,2015-04-21,113.89,114.49,113.24,113.89,1176767
ABC,2015-04-22,113.81,114.41,113.37,113.85,1145338
ABC,2015-04-23,115.2,116.18,113.57,113.81,2152201
ABC,2015-04-24,115.48,115.98,114.19,115.1,850348
ABC,2015-04-27,114.11,115.88,113.854,115.88,1563069
ABC,2015-04-28,113.96,114.62,112.61,114.0,1339922
ABC,2015-04-29,112.44,113.99,112.12,113.69,2201106
ABC,2015-04-30,114.3,120.68,113.03,117.39,5198129
ABC,2015-05-01,114.61,115.32,113.83,115.12,2903843
ABC,2015-05-04,115.25,116.28,114.51,114.67,2195218
ABC,2015-05-05,114.7,115.75,114.4,115.62,1843962
ABC,2015-05-06,114.06,115.13,113.507,114.9,1703618
ABC,2015-05-07,114.07,115.07,113.79,114.28,1707823
ABC,2015-05-08,115.3,116.0,114.53,114.54,2486740
ABC,2015-05-11,114.91,115.81,114.75,115.14,1592279
ABC,2015-05-12,115.05,115.4497,114.265,114.5,1988941
ABC,2015-05-13,114.3,115.85,114.17,115.47,1533445
ABC,2015-05-14,114.66,114.84,114.0,114.4,2416767
ABC,2015-05-15,114.18,115.07,113.75,114.86,1947754
ABC,2015-05-18,113.31,113.62,112.56,113.36,2804059
ABC,2015-05-19,115.11,115.58,113.42,113.54,1902393
ABC,2015-05-20,114.71,115.51,114.7,115.1,1885274
ABC,2015-05-21,113.94,114.81,113.87,114.5,2319280
ABC,2015-05-22,113.8,114.335,113.53,113.76,1498427
ABC,2015-05-25,113.8,113.8,113.8,113.8,0
ABC,2015-05-26,113.0,114.45,112.805,113.88,1559989
ABC,2015-05-27,113.59,113.82,112.77,112.91,1250265
ABC,2015-05-28,113.1,114.06,112.93,113.15,1360766
ABC,2015-05-29,112.56,114.4,112.56,113.22,4702561
ABC,2015-06-01,113.26,113.76,111.83,112.81,1360577
ABC,2015-06-02,112.48,113.34,112.01,112.55,1403071
ABC,2015-06-03,112.38,113.16,112.19,112.35,1452942
ABC,2015-06-04,111.49,112.6,111.1,111.47,1562458
ABC,2015-06-05,111.5,111.65,110.25,111.21,1382007
ABC,2015-06-08,110.22,111.81,110.21,111.31,1335504
ABC,2015-06-09,109.12,110.74,108.61,110.74,1917789
ABC,2015-06-10,108.75,109.185,108.28,109.04,1980546
ABC,2015-06-11,110.41,111.1396,108.8,108.92,1904190
ABC,2015-06-12,110.15,111.0,109.81,111.0,1163105
ABC,2015-06-15,110.63,112.33,109.0,109.77,2277562
ABC,2015-06-16,111.18,112.09,110.17,110.68,1671152
ABC,2015-06-17,111.51,112.13,110.87,111.38,1597613
ABC,2015-06-18,111.92,112.63,110.72,111.5,1329971
ABC,2015-06-19,111.47,112.31,111.3375,111.72,4169749
ABC,2015-06-22,111.79,113.19,111.65,112.58,902844
ABC,2015-06-23,111.81,112.47,111.58,112.18,1035571
ABC,2015-06-24,109.6,111.6,109.57,111.5,1558230
ABC,2015-06-25,107.61,109.7,107.3101,109.49,3239384
ABC,2015-06-26,107.84,108.56,107.32,108.07,1622856
ABC,2015-06-29,106.1,107.62,105.78,106.81,1730588
ABC,2015-06-30,106.34,107.31,106.15,106.3,1958595
ABC,2015-07-01,107.71,108.07,106.87,107.17,1897518
ABC,2015-07-02,107.1,108.32,107.03,107.71,1269020
ABC,2015-07-03,107.1,107.1,107.1,107.1,0
